symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JNJ,2023-07-17 22:00:00+00:00,158.85,159.07,158.85,159.07,120.0,4.0,158.845
JNJ,2023-07-17 23:00:00+00:00,158.82,158.82,158.82,158.82,433.0,6.0,158.819908
JNJ,2023-07-18 12:00:00+00:00,159.48,159.48,158.69,158.69,1177.0,67.0,158.987655
JNJ,2023-07-18 13:00:00+00:00,158.52,160.32,158.52,159.99,506448.0,9862.0,159.428432
JNJ,2023-07-18 14:00:00+00:00,159.99,160.57,159.85,160.455,465013.0,16766.0,160.196944
JNJ,2023-07-18 15:00:00+00:00,160.47,160.89,159.98,160.17,568000.0,11147.0,160.502382
JNJ,2023-07-18 16:00:00+00:00,160.18,160.23,158.5718,158.585,804212.0,11649.0,159.542919
JNJ,2023-07-18 17:00:00+00:00,158.585,158.855,158.19,158.7208,541730.0,10637.0,158.494148
JNJ,2023-07-18 18:00:00+00:00,158.72,158.97,158.62,158.635,402683.0,8835.0,158.818093
JNJ,2023-07-18 19:00:00+00:00,158.635,159.26,158.41,159.09,1367119.0,23573.0,158.902037
JNJ,2023-07-18 20:00:00+00:00,159.06,159.18,158.82,158.82,1568793.0,93.0,159.060102
JNJ,2023-07-18 22:00:00+00:00,158.8,159.4,158.8,159.4,3840.0,33.0,159.361089
JNJ,2023-07-18 23:00:00+00:00,159.4,159.4,158.9,159.3,6317.0,47.0,159.119772
JNJ,2023-07-19 08:00:00+00:00,158.42,158.42,158.42,158.42,214.0,17.0,158.429346
JNJ,2023-07-19 10:00:00+00:00,158.91,158.91,157.28,157.28,11210.0,354.0,158.028551
JNJ,2023-07-19 11:00:00+00:00,157.5,157.5,156.38,156.38,14634.0,801.0,157.18959
JNJ,2023-07-19 12:00:00+00:00,157.5,157.5,155.7,156.2,95746.0,1831.0,156.029404
JNJ,2023-07-19 13:00:00+00:00,156.3,159.82,156.2,159.73,1549205.0,22934.0,158.724459
JNJ,2023-07-19 14:00:00+00:00,159.76,160.41,159.07,159.08,1064691.0,24503.0,159.854805
JNJ,2023-07-19 15:00:00+00:00,159.11,159.31,158.42,159.31,765244.0,13069.0,158.864484
JNJ,2023-07-19 16:00:00+00:00,159.32,159.69,159.05,159.53,483120.0,9299.0,159.436839
JNJ,2023-07-19 17:00:00+00:00,159.5371,159.69,159.3,159.35,504054.0,9631.0,159.503858
JNJ,2023-07-19 18:00:00+00:00,159.36,159.56,159.09,159.25,528821.0,11478.0,159.313823
JNJ,2023-07-19 19:00:00+00:00,159.25,159.28,158.55,158.65,1330792.0,22122.0,158.818614
JNJ,2023-07-19 20:00:00+00:00,158.74,159.1237,158.7,158.78,1076143.0,134.0,158.740331
