symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JPM,2023-07-17 22:00:00+00:00,153.5,153.6,153.3,153.3501,4810.0,37.0,153.464272
JPM,2023-07-17 23:00:00+00:00,153.38,153.5499,153.37,153.49,4843.0,58.0,153.471121
JPM,2023-07-18 08:00:00+00:00,153.2,153.33,153.2,153.33,424.0,6.0,153.259622
JPM,2023-07-18 10:00:00+00:00,153.0,153.61,152.89,152.89,1421.0,35.0,153.30767
JPM,2023-07-18 11:00:00+00:00,153.37,153.37,153.37,153.37,369.0,8.0,153.373984
JPM,2023-07-18 12:00:00+00:00,153.32,153.54,152.75,153.01,11735.0,420.0,152.968693
JPM,2023-07-18 13:00:00+00:00,153.34,153.7,152.82,153.43,1501457.0,22269.0,153.220552
JPM,2023-07-18 14:00:00+00:00,153.42,153.66,152.91,153.575,1922657.0,27995.0,153.305233
JPM,2023-07-18 15:00:00+00:00,153.58,154.06,153.32,153.9,1494975.0,20442.0,153.780923
JPM,2023-07-18 16:00:00+00:00,153.905,154.18,153.77,154.03,1042660.0,14569.0,154.015512
JPM,2023-07-18 17:00:00+00:00,154.03,154.4,153.98,154.32,794196.0,13775.0,154.215026
JPM,2023-07-18 18:00:00+00:00,154.31,154.36,154.07,154.23,929131.0,18236.0,154.212781
JPM,2023-07-18 19:00:00+00:00,154.225,154.28,153.65,153.68,2703326.0,37673.0,153.922858
JPM,2023-07-18 20:00:00+00:00,153.66,153.74,153.37,153.58,1741031.0,222.0,153.659139
JPM,2023-07-18 22:00:00+00:00,153.3722,153.58,153.3722,153.58,1480.0,2.0,153.537878
JPM,2023-07-18 23:00:00+00:00,153.66,153.66,153.42,153.55,4083.0,12.0,153.452013
JPM,2023-07-19 09:00:00+00:00,153.41,153.41,153.41,153.41,150.0,3.0,153.410667
JPM,2023-07-19 10:00:00+00:00,153.5,153.5,153.5,153.5,722.0,20.0,153.50144
JPM,2023-07-19 11:00:00+00:00,153.6,153.73,153.03,153.4,2965.0,81.0,153.381433
JPM,2023-07-19 12:00:00+00:00,153.3,153.6385,153.0461,153.18,7993.0,193.0,153.311359
JPM,2023-07-19 13:00:00+00:00,153.5,153.52,152.22,153.4,1447279.0,20160.0,152.876579
JPM,2023-07-19 14:00:00+00:00,153.4,153.79,153.055,153.76,1744411.0,28521.0,153.440357
JPM,2023-07-19 15:00:00+00:00,153.77,154.71,153.695,154.7,2140626.0,19992.0,154.278892
JPM,2023-07-19 16:00:00+00:00,154.695,154.95,154.31,154.545,1053649.0,17785.0,154.656853
JPM,2023-07-19 17:00:00+00:00,154.54,155.08,154.455,154.8,1178625.0,16574.0,154.837216
JPM,2023-07-19 18:00:00+00:00,154.83,154.9953,154.57,154.97,1009253.0,16939.0,154.782155
JPM,2023-07-19 19:00:00+00:00,154.965,155.205,154.18,154.24,2135101.0,33805.0,154.648346
JPM,2023-07-19 20:00:00+00:00,154.22,154.56,154.09,154.25,1688811.0,161.0,154.250081
JPM,2023-07-19 21:00:00+00:00,154.16,154.29,154.16,154.25,1997.0,18.0,154.253716
JPM,2023-07-19 22:00:00+00:00,154.22,154.25,153.86,153.86,3137.0,77.0,154.072729
JPM,2023-07-19 23:00:00+00:00,154.0,154.16,153.89,153.95,1061.0,19.0,154.000971
JPM,2023-07-20 10:00:00+00:00,154.98,154.98,154.98,154.98,111.0,2.0,154.958829
JPM,2023-07-20 11:00:00+00:00,154.31,154.31,154.31,154.31,472.0,22.0,154.382754
JPM,2023-07-20 12:00:00+00:00,154.55,154.87,154.16,154.22,8718.0,128.0,154.494486
JPM,2023-07-20 13:00:00+00:00,154.2,156.0,153.7,155.77,1160457.0,17024.0,155.369448
JPM,2023-07-20 14:00:00+00:00,155.78,156.18,155.29,156.1613,1500684.0,24498.0,155.717364
JPM,2023-07-20 15:00:00+00:00,156.17,156.5,155.81,156.49,1179936.0,16204.0,156.096219
JPM,2023-07-20 16:00:00+00:00,156.5,156.59,156.225,156.39,1026297.0,14770.0,156.432778
JPM,2023-07-20 17:00:00+00:00,156.4,156.55,156.195,156.255,715043.0,11819.0,156.403185
JPM,2023-07-20 18:00:00+00:00,156.26,156.38,156.06,156.34,909118.0,14862.0,156.255188
JPM,2023-07-20 19:00:00+00:00,156.35,156.47,156.05,156.145,1895511.0,28475.0,156.235956
JPM,2023-07-20 20:00:00+00:00,156.16,156.46,156.1,156.2306,1464834.0,190.0,156.150806
JPM,2023-07-20 21:00:00+00:00,156.23,156.23,156.23,156.23,226.0,3.0,156.23385
JPM,2023-07-20 22:00:00+00:00,156.27,156.27,156.09,156.09,1136.0,21.0,156.161167
JPM,2023-07-20 23:00:00+00:00,156.19,156.21,156.1,156.1,2638.0,18.0,156.140641
JPM,2023-07-21 08:00:00+00:00,156.1,156.1,155.69,156.0,651.0,17.0,155.878157
JPM,2023-07-21 09:00:00+00:00,156.2,156.2,156.2,156.2,248.0,4.0,156.156331
JPM,2023-07-21 11:00:00+00:00,156.17,156.39,156.17,156.39,378.0,12.0,156.257566
JPM,2023-07-21 12:00:00+00:00,156.4,156.6,156.15,156.6,4281.0,43.0,156.547094
JPM,2023-07-21 13:00:00+00:00,156.75,156.88,155.08,155.43,1691472.0,18463.0,155.625018
JPM,2023-07-21 14:00:00+00:00,155.44,155.525,154.69,154.96,1844540.0,27041.0,155.154125
JPM,2023-07-21 15:00:00+00:00,154.95,155.75,154.8371,155.65,885788.0,14368.0,155.365101
JPM,2023-07-21 16:00:00+00:00,155.65,155.69,155.15,155.305,827941.0,12563.0,155.383274
JPM,2023-07-21 17:00:00+00:00,155.31,156.01,155.31,155.78,926486.0,11534.0,155.635007
JPM,2023-07-21 18:00:00+00:00,155.79,155.9271,155.5901,155.6799,710803.0,11681.0,155.752436
JPM,2023-07-21 19:00:00+00:00,155.675,155.68,154.9,154.95,1658291.0,24414.0,155.26141
JPM,2023-07-21 20:00:00+00:00,154.96,155.26,154.56,154.95,1910283.0,281.0,154.949661
JPM,2023-07-21 21:00:00+00:00,154.93,154.99,154.93,154.97,1128.0,8.0,154.973431
JPM,2023-07-21 22:00:00+00:00,154.97,155.1,154.95,155.1,1900.0,6.0,154.971579
JPM,2023-07-21 23:00:00+00:00,154.95,154.95,154.85,154.85,805.0,3.0,154.85
JPM,2023-07-24 12:00:00+00:00,155.0,155.0,154.5626,154.75,1318.0,53.0,154.895362
JPM,2023-07-24 13:00:00+00:00,154.94,156.39,154.49,156.36,1283613.0,14989.0,155.463227
JPM,2023-07-24 14:00:00+00:00,156.37,157.5,156.32,157.47,2463012.0,27197.0,156.855407
JPM,2023-07-24 15:00:00+00:00,157.475,157.96,157.05,157.894,1460375.0,19916.0,157.557062
JPM,2023-07-24 16:00:00+00:00,157.8899,158.66,157.84,158.42,1646484.0,23589.0,158.360265
JPM,2023-07-24 17:00:00+00:00,158.42,158.785,158.39,158.55,1084968.0,16290.0,158.561297
