symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2023-07-17 22:00:00+00:00,345.35,345.35,344.66,344.8,10869.0,305.0,345.036102
MSFT,2023-07-17 23:00:00+00:00,344.76,345.15,344.75,344.94,11578.0,196.0,344.954938
MSFT,2023-07-18 08:00:00+00:00,344.9,345.31,344.3,344.53,4368.0,131.0,345.091113
MSFT,2023-07-18 09:00:00+00:00,344.55,344.55,344.16,344.23,2589.0,85.0,344.303245
MSFT,2023-07-18 10:00:00+00:00,344.75,346.0,344.75,346.0,10480.0,265.0,345.315192
MSFT,2023-07-18 11:00:00+00:00,345.72,346.16,345.43,345.91,29400.0,989.0,345.860163
MSFT,2023-07-18 12:00:00+00:00,345.48,347.0,344.55,345.7,128973.0,3656.0,346.136532
MSFT,2023-07-18 13:00:00+00:00,346.0,346.79,342.17,343.37,3463795.0,66327.0,343.897686
MSFT,2023-07-18 14:00:00+00:00,343.39,344.53,342.62,344.3645,2893484.0,76225.0,343.621913
MSFT,2023-07-18 15:00:00+00:00,344.37,358.95,344.02,357.165,14164214.0,195893.0,352.564795
MSFT,2023-07-18 16:00:00+00:00,357.19,366.78,356.6,362.58,17913792.0,239367.0,362.727896
MSFT,2023-07-18 17:00:00+00:00,362.5974,365.0,362.5,363.94,6327759.0,81444.0,363.580093
MSFT,2023-07-18 18:00:00+00:00,363.97,365.5,363.85,364.08,4464287.0,76505.0,364.657859
MSFT,2023-07-18 19:00:00+00:00,364.07,364.56,359.46,359.525,10128979.0,153341.0,361.394142
MSFT,2023-07-18 20:00:00+00:00,359.54,359.89,358.5,358.63,5134237.0,3894.0,359.476262
MSFT,2023-07-18 21:00:00+00:00,358.67,358.9,358.2,358.59,44484.0,1054.0,349.830746
MSFT,2023-07-18 22:00:00+00:00,358.4617,360.15,358.4617,360.15,72518.0,1466.0,359.238251
MSFT,2023-07-18 23:00:00+00:00,360.15,360.98,360.0,360.7,88608.0,1711.0,360.598431
MSFT,2023-07-19 08:00:00+00:00,360.79,362.9,360.0,361.83,76408.0,1585.0,361.937231
MSFT,2023-07-19 09:00:00+00:00,362.01,362.53,361.6,362.28,10975.0,430.0,361.970668
MSFT,2023-07-19 10:00:00+00:00,362.2,362.4,361.7,361.86,28702.0,640.0,362.023282
MSFT,2023-07-19 11:00:00+00:00,361.9,362.19,361.21,361.7,86605.0,2364.0,361.618273
MSFT,2023-07-19 12:00:00+00:00,362.0,363.0,360.0,360.85,289790.0,7694.0,361.414204
MSFT,2023-07-19 13:00:00+00:00,360.85,362.46,357.8,359.37,6335474.0,108319.0,360.130141
MSFT,2023-07-19 14:00:00+00:00,359.395,361.56,357.25,359.49,5543229.0,115663.0,359.099055
MSFT,2023-07-19 15:00:00+00:00,359.51,360.72,358.83,359.235,3093340.0,57865.0,359.719021
MSFT,2023-07-19 16:00:00+00:00,359.21,359.65,354.36,354.69,6518765.0,108469.0,356.545019
MSFT,2023-07-19 17:00:00+00:00,354.69,354.85,353.02,353.0901,3744842.0,66649.0,354.062122
MSFT,2023-07-19 18:00:00+00:00,353.105,354.45,352.435,354.33,3573890.0,65513.0,353.423905
MSFT,2023-07-19 19:00:00+00:00,354.33,356.31,354.262,355.01,4742488.0,85594.0,355.359418
MSFT,2023-07-19 20:00:00+00:00,355.05,355.08,354.2,354.52,5503265.0,1912.0,355.073001
MSFT,2023-07-19 21:00:00+00:00,354.45,354.64,354.04,354.43,15560.0,528.0,354.301338
MSFT,2023-07-19 22:00:00+00:00,354.6,354.7,352.97,353.8,62887.0,1581.0,353.679534
MSFT,2023-07-19 23:00:00+00:00,353.8,354.38,353.24,353.36,56938.0,1163.0,353.842122
MSFT,2023-07-20 08:00:00+00:00,354.84,354.84,352.01,352.05,24733.0,701.0,352.910775
MSFT,2023-07-20 09:00:00+00:00,352.05,352.93,352.05,352.53,6543.0,191.0,352.475342
MSFT,2023-07-20 10:00:00+00:00,352.75,353.83,352.75,353.55,7704.0,204.0,353.470572
MSFT,2023-07-20 11:00:00+00:00,353.99,356.25,353.4,356.1,64900.0,1530.0,355.001139
MSFT,2023-07-20 12:00:00+00:00,353.55,356.25,352.4514,354.33,107200.0,3027.0,354.9411
MSFT,2023-07-20 13:00:00+00:00,354.33,357.97,353.2,355.8407,3697774.0,67098.0,355.621861
MSFT,2023-07-20 14:00:00+00:00,355.819,356.18,348.53,350.24,5683973.0,118415.0,351.124176
MSFT,2023-07-20 15:00:00+00:00,350.23,351.59,349.452,349.54,3378539.0,62198.0,350.470565
MSFT,2023-07-20 16:00:00+00:00,349.54,350.59,347.73,347.98,3735985.0,65544.0,349.025081
MSFT,2023-07-20 17:00:00+00:00,347.99,349.0,347.74,348.42,2004615.0,42605.0,348.369325
MSFT,2023-07-20 18:00:00+00:00,348.38,348.51,345.84,345.91,3104710.0,58842.0,346.925864
MSFT,2023-07-20 19:00:00+00:00,345.8945,347.35,345.37,346.88,5854546.0,109461.0,346.645033
MSFT,2023-07-20 20:00:00+00:00,346.89,347.42,346.65,347.17,5187708.0,1854.0,346.872087
